record_id,state,account_length,phone_number,international_plan,voice_mail_plan,number_vmail_messages,customer_service_calls,churn
67,MN,113,408-365-9011,yes,no,0,0,0
68,UT,126,408-338-9472,no,no,0,1,0
69,TX,150,510-374-8042,no,no,0,4,1
70,NJ,138,408-359-1231,no,no,0,3,0
71,MN,162,510-413-7170,no,yes,46,0,0
72,NM,147,510-415-2935,no,no,0,3,0
73,NV,90,415-399-4246,no,no,0,1,0
74,HI,85,415-362-5889,no,no,0,0,0
75,MN,50,415-350-8921,no,no,0,1,0
76,DC,82,415-374-5353,no,no,0,0,1
77,NY,144,408-360-1171,no,no,0,4,1
78,MN,46,415-355-8887,no,no,0,2,0
79,MD,70,408-333-1967,no,no,0,1,0
80,WV,144,415-354-4577,no,no,0,1,0
81,OR,116,415-331-7425,yes,no,0,3,0
82,CO,55,408-419-2637,no,yes,25,3,0
83,GA,70,415-411-1530,no,yes,24,1,0
84,TX,106,510-395-3026,no,no,0,2,1
85,VT,128,510-388-6441,no,yes,29,0,0
86,IN,94,408-402-1251,no,no,0,4,1
87,WV,111,510-412-9997,no,no,0,1,0
88,KY,74,415-346-7302,no,yes,35,2,0
89,NJ,128,415-358-9095,no,no,0,1,1
90,DC,82,510-400-9770,no,no,0,1,0
91,LA,155,415-334-1275,no,no,0,0,1
92,AR,80,415-340-4953,no,no,0,1,0
93,ME,78,415-400-9510,no,no,0,3,0
94,AZ,90,415-387-6103,no,no,0,3,0
95,AK,104,408-366-4467,no,no,0,1,0
96,MT,73,415-370-3450,no,no,0,0,0
97,AZ,99,415-327-3954,no,no,0,4,0
98,MS,120,408-355-6291,no,no,0,1,1
99,ID,77,415-362-9748,no,no,0,2,1
100,IA,98,510-379-6506,no,yes,21,4,0
101,MA,108,415-347-7741,no,no,0,0,0
102,VT,135,415-354-3783,no,no,0,0,0
103,KY,95,408-401-7594,no,no,0,1,0
104,IN,122,408-397-4976,no,no,0,1,0
105,AZ,95,408-334-2577,no,no,0,4,0
106,MI,36,510-400-3637,no,yes,29,2,0
107,NM,93,510-383-4361,no,yes,21,1,0
108,CO,141,415-371-4306,no,yes,32,1,0
109,UT,157,408-403-4298,no,no,0,3,0
110,MI,120,408-409-3786,no,no,0,1,0
111,MA,103,415-337-4697,no,no,0,2,0
112,AL,98,408-383-1509,no,no,0,4,0
113,DE,125,408-359-9794,no,no,0,1,0
114,AZ,63,415-407-7035,no,no,0,1,0
115,ME,36,510-363-1069,yes,yes,42,0,1
116,NJ,64,510-391-4652,no,no,0,1,0
117,NV,74,415-355-6837,no,no,0,1,1
118,MO,112,510-409-1244,no,yes,36,2,0
119,ID,97,408-328-3266,no,no,0,2,0
120,NE,46,408-352-7072,no,no,0,1,0
121,TX,41,408-370-7550,no,yes,22,0,0
122,MD,121,510-369-5526,no,no,0,3,0
123,MS,193,415-329-4391,no,no,0,1,0
124,NV,130,510-408-4195,no,no,0,2,0
125,AZ,85,408-354-4445,no,no,0,1,0
126,MS,162,415-335-4858,no,no,0,4,1
127,MS,61,510-414-8718,no,yes,27,4,1
128,TX,92,408-409-5939,no,no,0,2,0
129,NE,131,408-331-4902,no,yes,36,3,0
130,NE,90,415-353-6870,no,no,0,3,0
131,CA,75,408-355-2909,no,no,0,1,0
132,NJ,78,415-390-6101,no,no,0,1,0
133,TX,82,408-400-3446,no,no,0,4,0
134,AR,163,408-411-5859,no,no,0,1,0
135,AL,91,510-387-2919,yes,no,0,3,0
136,NY,75,415-374-8525,no,yes,21,5,0
137,FL,91,510-379-5592,no,no,0,3,0
138,AK,127,510-345-8237,no,yes,36,1,0
139,NV,113,415-422-6690,no,yes,23,2,0
140,DE,110,510-346-2359,no,no,0,1,0
141,MD,120,415-374-3534,no,yes,39,0,0
142,MI,157,415-381-4756,no,yes,28,3,0
143,VT,103,510-390-2805,no,no,0,1,0
144,VT,117,408-390-2390,yes,no,0,2,1
145,MI,140,415-419-9097,no,no,0,3,0
146,WA,127,408-386-7281,no,no,0,1,0
147,UT,83,408-380-3561,yes,no,0,1,0
148,LA,121,408-390-8760,no,no,0,1,0
149,RI,145,408-366-6730,no,yes,43,2,0
150,IA,113,408-395-5285,no,no,0,1,0
151,NE,117,415-354-3436,no,no,0,1,0
152,OH,65,408-336-7600,no,no,0,1,0
153,RI,56,415-383-6293,no,no,0,1,0
154,OK,96,415-362-4596,no,no,0,5,0
155,LA,151,408-401-3926,no,no,0,0,0
156,OH,83,415-370-9116,no,no,0,0,1
157,VA,139,510-328-6289,no,yes,23,0,0
158,MO,6,510-350-9994,no,no,0,1,0
159,FL,115,510-351-4616,no,yes,24,1,0
160,SC,87,415-360-5779,no,no,0,0,0
161,VA,141,415-417-4885,no,no,0,0,0
162,IA,141,510-406-4710,no,yes,36,3,0
163,MI,62,415-409-8743,no,no,0,1,0
164,OK,146,415-335-4584,no,no,0,1,0
165,DE,92,415-361-9845,no,yes,33,2,0
166,GA,185,510-366-5699,no,yes,31,1,0
167,DC,148,415-329-9364,no,no,0,1,0
168,AZ,94,408-390-7434,no,yes,38,1,0
169,AL,32,510-404-9680,no,no,0,0,0
170,CO,68,408-338-9398,no,no,0,1,0
171,NH,64,408-394-2445,no,yes,27,2,0
172,NM,25,415-381-2709,no,no,0,3,0
173,OR,65,415-397-5060,no,no,0,1,0
174,LA,179,408-415-2393,no,no,0,0,0
175,NE,94,415-377-1765,no,no,0,2,0
176,MN,62,415-409-2111,no,no,0,0,0
177,MI,127,415-401-3170,no,no,0,2,0
178,AR,116,408-405-5681,no,no,0,3,0
179,KS,70,408-411-4582,no,no,0,3,0
180,WV,94,510-355-5009,yes,yes,23,4,0
181,AK,126,415-372-3750,no,no,0,5,1
182,NY,67,408-405-2888,no,yes,36,2,0
183,NH,19,408-361-3337,no,no,0,2,0
184,VA,170,510-350-1639,yes,no,0,3,0
185,NM,73,415-333-3221,no,no,0,1,0
186,NY,106,408-422-1471,no,no,0,1,0
187,AZ,93,415-399-7865,no,no,0,2,0
188,WY,164,510-373-4819,no,no,0,1,0
189,WA,51,408-338-6981,no,no,0,1,0
190,CO,107,415-418-4365,no,no,0,0,0
191,TX,130,415-359-5461,no,no,0,1,0
192,KY,80,408-375-3586,no,no,0,2,0
193,MT,94,415-407-8376,no,no,0,0,0
194,OK,118,408-408-6496,no,yes,23,1,0
195,MD,117,415-385-7688,no,yes,23,1,0
196,TN,78,415-332-6934,no,no,0,0,0
197,TX,208,510-378-3625,no,no,0,2,1
198,ME,131,510-353-7292,yes,yes,26,4,1
199,DC,63,408-399-6786,no,no,0,0,0
200,MN,53,415-358-3261,no,yes,24,3,0
201,DE,62,408-377-9932,no,no,0,2,0
202,MD,97,415-397-4030,no,no,0,3,0
203,MI,105,510-367-1062,no,no,0,2,0
204,WA,157,415-341-8467,no,no,0,1,0
205,MO,66,415-339-9453,no,yes,36,1,0
206,IN,122,415-344-3388,no,no,0,2,0
207,OR,38,415-375-8013,no,no,0,3,0
208,MD,106,510-408-4142,no,no,0,3,0
209,RI,99,510-386-3671,no,no,0,3,0
210,LA,99,415-411-2284,no,no,0,1,0
211,AZ,144,510-346-7795,yes,no,0,0,0
212,PA,82,415-333-5609,no,yes,24,1,0
213,AZ,86,408-405-1842,no,yes,31,1,0
214,FL,70,510-366-6345,yes,no,0,2,1
215,LA,93,415-337-9345,no,no,0,3,0
216,FL,93,415-328-6770,no,no,0,0,0
217,FL,120,415-380-7321,no,no,0,3,0
218,MD,136,415-375-1476,no,no,0,1,1
219,AL,106,415-356-1567,no,no,0,0,0
220,WA,81,415-422-6685,no,no,0,3,0
221,TN,127,408-336-1090,no,yes,22,1,0
222,MS,65,415-343-2095,no,no,0,1,0
223,ME,35,408-345-3934,no,no,0,2,0
224,OK,88,408-338-8050,no,no,0,2,0
225,IN,65,415-388-9568,no,no,0,1,0
226,MO,123,415-402-6591,no,no,0,3,0
227,IA,126,408-403-6419,no,yes,27,2,0
228,VA,104,415-386-9790,no,yes,23,4,0
229,KY,45,415-378-5692,no,yes,22,0,0
230,MD,93,408-360-3324,yes,no,0,0,1
231,OH,63,415-410-3719,yes,yes,36,1,0
232,OK,100,415-352-4221,no,no,0,3,0
233,NV,53,415-327-6179,no,no,0,0,0
234,ID,92,415-359-6196,yes,no,0,1,0
235,MN,139,510-374-9107,no,no,0,5,1
236,SD,110,408-357-4078,no,yes,40,2,0
237,IL,110,408-366-5780,no,no,0,3,0
238,WY,215,510-393-9619,no,no,0,0,0
239,AL,73,415-355-9295,no,no,0,1,0
240,NJ,138,510-400-5751,no,no,0,0,0
241,NV,137,415-338-1027,yes,no,0,2,1
242,IN,36,415-405-8867,no,no,0,1,0
243,WV,85,408-336-5616,no,no,0,3,0
244,VA,108,408-335-1697,no,no,0,0,1
245,SC,22,408-331-5138,no,no,0,0,0
246,RI,107,415-385-8240,no,yes,37,0,0
247,IN,51,510-348-1359,no,no,0,0,0
248,AZ,94,408-354-7339,no,no,0,4,0
249,NM,119,510-349-1687,no,yes,23,2,0
250,OR,33,415-380-2558,no,yes,29,4,1
251,NJ,106,415-365-2153,no,no,0,4,0
252,MS,82,408-345-6043,no,no,0,3,0
253,MI,86,510-349-2808,no,yes,41,0,0
254,TX,97,415-411-1715,yes,no,0,0,0
255,FL,106,408-385-2488,no,yes,32,4,0
256,DC,108,510-377-7177,no,no,0,1,0
257,TX,114,415-342-1099,no,no,0,1,0
258,KS,92,408-386-4170,yes,no,0,1,1
259,UT,59,510-413-1269,no,no,0,1,0
260,MN,24,510-396-4460,no,yes,25,1,0
261,IL,151,408-334-2730,no,no,0,1,0
262,NM,117,415-340-3182,no,no,0,1,0
263,SC,78,510-377-8608,no,no,0,1,0
264,NC,155,408-417-3676,no,no,0,2,0
265,WV,114,510-417-6774,no,yes,30,1,0
266,RI,114,510-411-9554,no,yes,28,4,0
267,NH,119,408-420-3192,no,no,0,3,0
268,MO,64,510-389-1475,no,yes,48,0,0
269,MA,118,408-343-7734,yes,no,0,2,0
270,PA,101,415-410-3390,no,no,0,0,0
271,OK,117,415-344-6495,no,no,0,1,0
272,AL,49,415-331-6229,no,yes,28,3,0
273,WY,139,415-337-7501,no,no,0,3,0
274,PA,92,408-339-9631,no,yes,28,1,0
275,WA,83,415-369-4384,no,no,0,3,0
276,HI,148,510-416-3915,yes,no,0,0,0
277,SD,144,408-339-3049,no,yes,48,2,1
278,AL,131,415-361-7998,no,yes,25,2,0
279,VT,146,510-355-4842,yes,no,0,3,0
280,MT,143,415-387-6440,no,no,0,2,0
281,MN,81,415-369-2625,no,no,0,2,0
282,AK,48,415-389-7073,no,yes,37,1,0
283,MI,86,415-370-8463,no,yes,28,1,0
284,DE,71,415-362-7318,no,no,0,3,0
285,SD,145,408-412-1194,no,yes,24,2,0
286,MI,137,510-355-9508,no,no,0,2,0
287,KS,137,408-352-8202,no,no,0,2,0
288,AL,167,510-335-5882,no,no,0,0,0
289,OK,89,510-352-6976,no,no,0,1,1
290,CT,199,415-393-6733,no,yes,34,0,0
291,NE,132,510-335-1838,no,no,0,0,0
292,WI,94,510-355-6930,no,no,0,1,0
293,CT,96,415-387-5860,no,yes,37,5,1
294,WI,96,510-343-2605,no,yes,18,1,0
295,IN,166,510-350-6759,no,no,0,1,0
296,DC,74,415-371-1514,no,no,0,2,0
297,AR,36,415-346-9317,no,no,0,0,0
298,ME,113,415-398-4313,no,no,0,4,0
299,MN,94,415-412-4399,no,no,0,1,0
300,MD,67,415-330-1835,no,no,0,2,0
301,FL,127,415-416-1676,no,no,0,1,1
302,RI,121,408-329-7347,no,no,0,0,1
303,IA,158,415-360-6868,no,no,0,1,0
304,AZ,136,510-405-6641,no,no,0,1,0
305,MO,196,415-393-2373,no,no,0,2,0
306,VT,113,415-419-1714,no,no,0,1,1
307,IN,122,408-336-3819,no,no,0,4,1
308,RI,112,510-341-3464,no,no,0,0,0
309,SD,209,415-413-5310,no,no,0,3,0
310,MN,62,415-366-7912,no,no,0,1,1
311,TX,110,415-399-8845,no,yes,38,1,0
312,VA,16,510-368-2583,no,no,0,0,0
313,MA,73,408-360-6309,no,no,0,0,0
314,ID,128,408-359-5890,no,no,0,0,0
315,MA,39,408-332-2462,no,no,0,1,0
316,GA,103,415-381-9196,no,yes,28,2,0
317,RI,119,415-329-3222,no,yes,29,3,0
318,ID,173,510-363-5819,no,yes,21,3,0
319,SD,128,510-413-9269,yes,yes,32,2,1
320,MA,86,510-330-7483,no,no,0,0,0
321,WY,114,415-403-7775,no,yes,32,1,0
322,VA,104,408-360-2479,no,no,0,0,0
323,OR,148,415-394-3791,no,no,0,1,0
324,VA,129,408-384-2632,no,no,0,3,0
325,ME,100,510-359-8466,no,yes,30,0,0
326,AL,121,408-331-8909,no,yes,35,1,0
327,GA,143,408-359-5160,no,yes,33,1,0
328,IA,76,510-330-9833,no,no,0,0,0
329,AZ,158,510-362-2314,no,no,0,0,0
330,FL,116,510-338-8478,no,no,0,3,0
331,MT,54,415-387-5453,no,no,0,1,1
332,AL,86,415-380-3437,no,no,0,7,1
333,DE,108,510-365-8779,no,no,0,0,0
334,MT,66,510-407-2750,no,no,0,1,0
335,KY,151,408-396-8265,no,yes,17,1,0
336,SC,99,510-397-4304,no,no,0,0,0
337,WA,55,415-333-2611,no,no,0,2,0
338,OR,77,510-409-8814,no,no,0,2,0
339,AK,78,408-336-5406,no,no,0,0,0
340,GA,89,415-343-6940,no,no,0,1,1
341,MN,101,415-361-9923,no,no,0,1,0
342,IL,44,415-350-6639,no,yes,34,0,0
343,IN,98,408-376-4300,no,yes,21,2,0
344,SC,64,510-349-6567,no,yes,37,1,0
345,VA,141,415-333-7749,no,no,0,3,0
346,WI,81,415-408-6089,no,yes,33,1,0
347,VT,162,510-375-2165,no,no,0,1,0
348,AZ,83,415-400-6999,no,yes,41,3,0
349,FL,100,510-420-7823,no,no,0,4,1
350,AK,59,510-366-5241,no,no,0,4,0
351,AR,179,415-413-3412,yes,yes,38,4,0
352,AR,79,408-406-2752,no,no,0,1,0
353,AK,117,415-337-8078,no,no,0,2,0
354,MS,64,408-402-1942,yes,no,0,2,1
355,ME,31,415-371-7917,no,no,0,1,0
356,CA,124,408-343-6374,yes,no,0,1,0
357,NM,122,408-385-8730,no,yes,23,2,0
358,NE,37,408-393-7892,yes,yes,39,1,0
359,SC,90,408-407-6748,no,yes,29,1,0
360,CO,159,408-341-4463,yes,no,0,1,1
361,DE,148,415-351-2587,no,no,0,0,0
362,OH,39,415-421-9752,no,yes,36,1,0
363,MS,77,408-356-4001,no,no,0,2,0
364,OK,194,408-328-9869,no,no,0,0,0
365,CO,154,415-343-5709,no,no,0,1,1
366,NC,112,415-334-1872,no,no,0,4,0
367,MD,45,415-350-1040,no,no,0,1,0
368,KS,132,415-369-3214,no,no,0,1,0
369,MA,128,415-385-6778,no,no,0,0,0
370,NC,135,415-383-7689,no,no,0,1,0
371,NM,56,408-385-5722,no,no,0,2,0
372,CA,151,415-357-1909,yes,no,0,0,1
373,NY,32,415-364-3567,no,no,0,2,0
374,AZ,90,415-422-4241,no,no,0,2,0
375,SD,87,415-370-2957,no,yes,21,0,0
376,DC,138,415-329-6562,no,no,0,2,0
377,ND,79,408-363-3515,no,no,0,1,0
378,MO,95,415-374-7787,yes,no,0,1,1
379,KS,127,415-345-2931,no,no,0,2,0
380,SD,137,510-373-5732,no,no,0,3,0
381,OK,97,415-348-7437,no,no,0,1,0
382,OR,149,415-332-9460,yes,no,0,0,0
383,IN,117,415-355-6531,yes,yes,22,1,0
384,OH,84,408-336-9390,no,no,0,2,0
385,KS,137,415-346-8581,no,no,0,4,0
386,CT,99,415-363-8824,no,no,0,3,0
387,NH,54,510-353-3351,no,no,0,1,0
388,WI,85,415-360-4320,no,no,0,1,0
389,MS,150,510-417-6252,no,no,0,3,0
390,WV,43,415-393-4949,no,no,0,1,0
391,MA,35,415-401-3156,no,no,0,0,0
392,MD,98,415-338-6283,no,no,0,5,0
393,PA,112,510-352-9017,no,no,0,2,0
394,WI,16,510-405-5305,no,no,0,0,1
395,TN,98,415-376-9249,no,yes,22,0,0
396,TX,84,408-339-7139,no,no,0,0,0
397,OR,94,415-328-6011,no,no,0,1,1
398,IL,84,510-378-1303,no,no,0,1,0
399,DC,66,415-402-5155,no,no,0,1,1
400,GA,98,415-333-5430,no,yes,31,1,0
401,ID,74,415-365-9696,no,no,0,0,0
402,UT,96,408-410-4023,no,yes,26,1,0
403,KY,119,510-411-7649,no,no,0,1,0
404,OH,73,415-338-4065,no,no,0,4,0
405,WI,92,415-421-9401,yes,no,0,0,0
406,IL,21,415-343-9658,no,no,0,0,0
407,DE,122,510-332-5521,no,no,0,4,1
408,RI,133,510-349-4369,yes,no,0,1,0
409,TX,145,415-351-4288,no,no,0,2,0
410,OR,25,408-422-5874,no,no,0,2,0
411,NV,64,415-396-2324,no,no,0,2,0
412,NE,85,415-416-5662,no,no,0,0,0
413,MS,126,415-363-9663,no,no,0,3,0
414,OR,76,415-410-9477,no,no,0,0,0
415,DE,113,415-352-4418,no,no,0,2,1
416,DE,224,510-361-6563,yes,no,0,1,1
417,AZ,117,408-417-4404,no,no,0,0,0
418,SD,128,408-372-8048,no,yes,34,1,0
419,NV,115,415-356-3646,no,no,0,2,0
420,NM,141,415-351-9604,no,yes,28,2,0
421,MN,51,510-355-9581,no,no,0,1,0
422,NJ,100,415-396-5189,no,no,0,0,0
423,IN,96,415-356-9187,no,yes,45,3,0
424,DC,112,415-394-5537,no,yes,16,1,0
425,MA,129,510-408-2712,yes,no,0,1,0
426,ME,163,415-404-4486,no,no,0,1,0
427,NH,67,415-355-1113,no,yes,40,1,0
428,AZ,140,408-411-4674,no,no,0,3,0
429,OR,49,510-376-4519,no,no,0,2,0
430,KS,46,510-365-5979,no,no,0,2,1
431,NE,148,415-382-2879,no,no,0,1,0
432,MI,112,510-420-1383,no,no,0,1,0
433,SC,78,415-411-7390,no,no,0,2,0
434,PA,61,408-383-8848,no,yes,31,0,0
435,MT,58,510-387-9301,no,yes,29,1,0
436,NM,155,415-399-3164,no,no,0,1,0
437,OH,100,510-385-8997,no,no,0,0,1
438,WY,113,510-352-6573,no,no,0,1,0
439,MI,81,415-408-3384,no,no,0,2,0
440,AR,135,510-419-6033,no,yes,27,1,0
441,FL,99,408-336-2090,no,no,0,0,0
442,AR,59,510-343-7242,no,yes,29,1,0
443,MO,135,510-376-1713,no,no,0,1,0
444,WI,85,408-381-5878,yes,no,0,2,0
445,TX,70,510-390-5470,no,no,0,0,0
446,TX,88,510-414-4803,no,no,0,3,0
447,NM,55,510-382-5478,no,no,0,2,0
448,GA,75,415-333-7637,no,no,0,1,0
449,ID,79,510-341-1647,no,yes,21,4,0
450,AL,85,408-411-4232,no,no,0,0,0
451,KS,86,408-339-2616,no,yes,23,0,0
452,SD,91,510-327-3850,no,no,0,0,0
453,LA,149,415-328-7209,no,yes,20,1,0
454,OH,97,408-405-6189,no,no,0,1,1
455,MA,88,415-418-6737,no,no,0,1,1
456,AZ,60,415-366-2212,no,no,0,2,0
457,KY,54,408-356-1420,no,no,0,2,0
458,DC,11,415-343-1323,no,yes,28,3,0
459,WA,109,415-361-8239,no,no,0,0,0
460,UT,90,415-384-1621,no,no,0,1,0
461,RI,115,408-360-3525,no,no,0,3,0
462,OH,144,415-392-3813,no,yes,18,1,0
463,NV,91,408-337-6898,no,no,0,0,0
464,ND,105,415-366-8036,no,yes,23,0,0
465,NV,71,415-352-8327,yes,no,0,3,1
466,FL,132,510-334-9505,no,yes,36,3,1
467,MD,112,415-336-5702,no,no,0,1,0
468,AZ,86,415-392-2381,no,yes,32,3,0
469,AL,41,510-369-6880,no,yes,34,2,0
470,NE,44,415-416-8697,no,no,0,1,0
471,NV,78,408-345-3451,no,no,0,3,0
472,IL,149,408-379-2514,no,no,0,1,0
473,WV,72,510-418-6651,no,yes,33,4,1
474,MI,139,415-421-3528,no,yes,20,0,0
475,AR,74,510-329-9046,no,no,0,3,0
476,UT,50,510-406-3890,no,no,0,1,0
477,GA,141,510-403-8904,no,yes,23,3,0
478,AZ,140,408-393-4086,no,no,0,1,0
479,ID,99,408-400-1367,no,no,0,2,0
480,HI,166,408-377-9473,no,no,0,1,0
481,NV,124,408-396-3068,no,no,0,1,0
482,MD,74,415-331-9293,no,no,0,0,0
483,GA,117,510-347-1914,no,no,0,2,0
484,GA,85,510-395-1962,no,no,0,3,0
485,UT,36,415-401-5485,no,yes,16,0,0
486,MA,102,510-355-6560,yes,no,0,0,0
487,IN,76,415-363-3911,no,no,0,0,0
488,VT,165,510-345-1998,no,no,0,1,0
489,IA,130,415-361-5277,no,no,0,1,0
490,IN,78,415-376-7145,no,no,0,0,0
491,AL,55,415-375-2975,yes,no,0,1,1
492,ME,92,415-376-8573,yes,no,0,2,1
493,RI,129,415-366-7360,no,yes,33,2,0
494,MD,18,408-347-7898,no,no,0,1,0
495,FL,161,415-390-7328,yes,no,0,2,0
496,CA,93,415-356-5491,no,yes,36,2,0
497,AL,144,415-373-3251,no,no,0,2,0
498,ME,75,408-343-1965,yes,no,0,4,1
499,WV,95,415-378-8019,no,no,0,1,0
500,SD,126,415-386-1548,no,yes,23,3,0
501,FL,124,415-397-1649,no,yes,28,1,0
502,MI,93,415-366-7247,yes,no,0,1,1
503,MI,109,415-402-9691,yes,yes,26,0,0
504,NM,80,510-334-9806,no,no,0,0,0
505,AK,41,415-378-7733,no,no,0,1,0
506,OH,136,415-407-2248,no,yes,31,2,0
507,MO,92,415-405-3916,no,no,0,3,1
508,KS,143,408-407-2081,no,yes,24,1,0
509,MS,118,415-397-9148,no,yes,26,5,1
510,VT,193,408-415-4857,no,yes,17,1,0
511,NE,73,415-354-7314,no,no,0,3,0
512,VA,62,408-346-5611,no,no,0,2,0
513,DE,30,415-349-4703,no,yes,30,0,0
514,AL,60,408-411-7778,yes,yes,29,0,1
515,ID,148,510-421-1469,no,yes,14,1,0
516,MS,96,510-420-5990,no,no,0,2,0
517,OK,52,408-389-4780,no,no,0,2,0
518,NM,87,415-357-2735,no,no,0,1,0
519,WI,41,408-409-4791,no,no,0,3,0
520,WV,112,415-380-5286,no,no,0,1,0
521,SC,88,510-394-8402,no,no,0,4,1
522,KY,122,408-392-1616,no,yes,27,7,0
523,MO,61,408-364-1969,no,no,0,2,0
524,IL,87,510-390-4152,no,no,0,1,0
525,OK,176,408-367-7039,no,no,0,2,0
526,MI,30,510-391-6607,no,no,0,0,0
527,NJ,95,415-379-6652,no,yes,22,0,0
528,ID,46,415-384-1833,no,no,0,2,0
529,DC,100,510-403-2455,yes,no,0,0,0
530,NY,47,415-391-1348,no,yes,37,2,0
531,AL,77,415-408-4174,no,no,0,2,0
532,OR,98,415-366-4334,no,yes,38,2,0
533,OK,125,415-406-5059,no,yes,36,1,0
534,LA,67,510-373-6784,no,no,0,4,0
535,NE,194,408-408-3532,no,no,0,1,0
536,TX,128,415-350-8680,no,yes,40,1,0
537,UT,190,415-398-9870,no,yes,22,0,0
538,OR,165,415-343-3356,no,no,0,0,0
539,NY,59,408-415-4609,no,no,0,2,0
540,AL,47,408-404-5387,no,yes,28,1,0
541,RI,150,415-415-8151,no,yes,29,0,0
542,MN,152,415-416-2778,yes,yes,20,9,1
543,NC,26,415-393-3300,no,no,0,3,0
544,MD,79,510-391-7661,no,yes,31,3,0
545,RI,95,510-339-4317,no,yes,27,1,0
546,WI,69,510-418-6455,yes,no,0,2,1
547,VT,95,510-378-3508,yes,yes,41,5,1
548,CT,31,415-390-9359,no,yes,31,0,0
549,OK,121,408-364-2495,no,yes,31,4,0
550,AK,111,415-364-7719,no,no,0,4,1
551,NY,157,415-421-1189,no,no,0,2,0
552,GA,44,510-419-8987,no,no,0,3,1
553,UT,61,510-402-9980,yes,no,0,2,0
554,NM,65,415-376-5908,no,no,0,2,0
555,NE,74,415-400-3150,no,yes,25,2,0
556,NJ,123,408-336-1749,no,no,0,0,0
557,TX,58,408-420-1259,no,yes,20,1,0
558,MT,74,408-339-7541,no,no,0,2,1
559,CO,125,415-378-9029,no,no,0,2,0
560,VT,80,415-342-7514,no,no,0,1,0
561,RI,53,408-422-4956,no,yes,18,0,0
562,WY,99,408-389-8606,no,yes,28,1,0
563,ID,99,415-406-7261,no,no,0,1,0
564,CT,66,415-417-7973,no,yes,29,2,0
565,ME,97,510-390-2891,no,no,0,3,0
566,AZ,75,510-385-7387,no,yes,37,2,0
567,MD,85,510-362-2776,yes,no,0,2,0
